id,name,description,cook_time_in_minutes,preparation_time_in_minutes,total_time_in_minutes
0,A Checkerboard Of Roses ( Flower Arrangements),"While at a party where the game of chess was the theme, our flower expert sonal panchmatia was inspired to create this checkerboard of roses. The arrangement is particularly aimed at embellishing a low dining0table sit-down. Complementing the roses in the arrangement is fresh, green asparagus and fragrant lemongrass. ",30 mins,0 mins ,30 mins 
1,A Truly Delectable Bunch ( Flower Arrangements),This festive season make an irresistible bouquet that’s good enough to eat!,30 mins,0 mins ,30 mins 
2,A-bun-dantly Creative ( Flower Arrangements),"A floral centerpiece always adds a touch of class to a formal sit-down dinner. If you're planning a party and are too busy cooking and cleaning, rope your children into making an unusual arrangement that combines the elegance of flowers with the versatility of bread. Sonal panchmatia shows how!",30 mins,0 mins ,30 mins 
3,Aam aur Chane ka Achaar,"The summers in India are quite unbearable, but they have a saving grace - the mango season. Everyone looks forward to the yearly mango crop and housewives get busy blending the myriad spices needed for a whole year's supply of mango pickles.  As pickles are an essential feature of the Indian menu, new and more innovative varieties come up from time to time. This recipe is of a tongue tickling grated mango and chick pea pickle combined judiciously with whole and powdered spices. The chick peas in this recipe take on a sour salty flavour as they are soaked in raw mango juice. Like all oil pickles, this has a shelf life of upto one year but I am sure it will be eaten up much before that.",24 hours.,0 mins ,144024 hours
4,Aam Aur Chane ka Achaar (  Rajasthani),"Quick-fixes are there for every dish, from soups to pickles. However, the slow and steady method, although laborious, is often the tastiest. You will realise this truth when, after waiting for seven days, you first relish a spoonful of this delicious Aam aur Chane ka Achaar. A typical Rajasthani pickle of raw mangoes and white chick peas perked up with a large assortment of spices and preserved with mustard oil, this pickle has a wonderful mix of flavours ranging from sour to spicy. Remember to sterilize the jars before storing the pickle, so it will keep well for much longer.",10 mins,4 mins,14 mins 
5,"Aam ka Achaar, Mango Pickle, Punjabi Achar","During the mango season in the summer in Punjab, one can see at least two or three earthenware jars full of pickled raw mangoes maturing in the sun outside homes. This typical Punjabi recipe for making mango pickle is most popular in the region. The combination of fennel seeds, nigella seeds with mustard and other pickling spices is what distinguishes this mango pickle from its equally famous Gujarati counter part.Sun-dried mangoes used in this pickle impart a salty chewy character and also improve the shelf life of the pickle. This is a very simple recipe to follow. Just keep in mind the basics of pickle making a clean sterilized jar, see that there is no moisture and ensure that mustard oil forms a covering layer over the ingredients in the jar.",15 mins,10 mins,25 mins 
6,"Aam Ka Panna, How To Make Aam Panna","Aam Ka Panna, an innovative variant of the traditional kairi ka panha or kairi ka pani, this refreshing drink is the best way to beat the heat after a long day. You can make the syrup of cooked mangoes, sugar and mint in advance and store it. Combine the syrup and chilled water just before serving.Aam Ka Panna is a perfect party drink on hot days, serve with savory appetizers like Threaded Paneer Rolls , Mini Onion Samosa  , Cheesy Onion Fingers and Chatpata Kand .",10 mins,10 mins,20 mins 
7,"Aam Ke Pakode, Mango Bhajiya","You would have tried bhajiyas with all kinds of veggies ranging from onions to raw bananas, and you might even have tried making it with ripe yellow bananas. But, have you ever had a taste of Aam ke Pakode or Mango Bhajiyas? Well, this delightful seasonal treat is a must-try. Choose ripe and sweet Alphonso mangoes, cube them, dip them in a spicy batter and deep-fry till crisp, and voila, you have an absolutely awesome tea-time snack ready.",15 mins,20 mins,35 mins 
8,Aam ki Katki ka Muraba,"Murabba or ""morabba"" is an Arabic word meaning to preserve. This versatile murabba is made of finely chopped raw mangoes cooked in thick sugar syrup and spiced with sambhaar.  Chop the mango pieces evenly so that they cook well in the sugar syrup and also look attractive. Enjoy this pickle with hot rotis or a spicy vegetable.",15 mins.,45 mins.,601 hours
9,Aam ki Launji,"Quick and easy pickle that tickles your palate! Aam ki Launji is made by cooking mangoes with a readily available selection of spices and powders. No complex methods, tricky proportions or pickling time involved in making this, yet it stays fresh for almost four days in the refrigerator. This sweet and spicy Aam ki Launji can be served with parathas or rotis of your choice.",5 mins,6 mins,11 mins 
10,Aam Lassi Slush,"Here, we bring together two favourite beverage formats – slush and lassi! Rich and luscious mango lassi is blended with mint leaves and ice cubes to get a slushy, peppy drink, which is sure to be enjoyed by everybody. Remember to let the Aam Lassi Slush rest a while out of the freezer so you can mix it up with a fork before serving, with an appetizing garnish of mint leaves.",10 mins,0 mins ,10 mins 
11,Achaari Aloo Roll ( Wraps and Rolls),"Achaar is synonymous with indian cuisine. Undoubtedly, it adds a brilliant touch to wraps too! lacing the spicy potato filling with aam aur chane ka achaar makes your tongue tingle with joy. I’m sure you’ll love it purely because of its simplicity. This recipe has to be planned in advance as the achaar has to be marinated for 3 to 4 days. Else, you can buy readymade aam ka achaar.",20 mins,20 mins,40 mins 
12,Achaari Dahi Bhindi,"A double-tangy subzi with the combined sourness of curds and tomatoes, perked up with a wide assortment of seeds and spice powders, which give it a super peppy flavour and aroma too. The ladies finger is sliced and shallow-fried before preparing the gravy, so that it has a nice texture and does not end up gooey, which sometimes happens when you add bhindi to a dish without sautéing it properly. Serve hot with any roti of your choice.",10 mins,13 mins,23 mins 
13,Achaari Paneer Tikka,"Succulent cottage cheese in a pure desi avatar! Marinated in an intensely spicy achaari marinade, which reflects the flavour of green chilli pickle, the paneer cubes are arranged into a satay and cooked till perfectly crisp outside, soft inside, and flavourful through and through. The best part is that this Achaari Paneer Tikka is not senselessly spicy – it has an exciting blend of flavours ranging from green chilli pickle to magical spices like fennel and nigella seeds, which are sure to fascinate your taste buds.",10 mins,10 mins,20 mins 
14,Achaari Paneer Tikkas,"An excitingly achaari formula to prepare paneer that is sure to set your taste buds on fire, albeit enjoyably. The Achaari Paneer Tikka features paneer cubes marinated in a wonderfully spicy mix of green chilli pickle, curds, garlic and a variety of aromatic seeds. As you toast each marinated paneer satay on the tava, the aroma wafts through your nostrils, right to your tummy, immediately setting it in overdrive mode. Be wise not to let the fiery appetite wait any longer – because this tikka is best enjoyed fresh, with tantalising dahiwale phudina chutney.",10 mins,10 mins,20 mins 
15,Achaari Paneer Warqi,"Achaari paneer warqi, paneer cooked in indian spices and seasonings and served on top of the baked warqi samosa pattis. ",20 mins,20 mins,40 mins 
16,"Achar Dip, Achari Dip","Never before would you have experienced such a wide assortment of Indian spices in a dip! With a base of curds, tempered with five aromatic spices, perked up with coriander and green chillies, and chilled to a pleasant temperature, this lip-smacking Achaari Dip will make your taste buds tingle with joy, yearning for the next bite of dip-coated khakhras.This dip is also nice to serve at parties to complement starters like Kebabs and Tikkis .",2 mins,1 mins,3 mins 
17,Achari Baingan,"This is one of the most delicious methods of cooking brinjal or Baingan. The achaaris masala is very popular in Punjabi cooking and contrary to popular belief does not use any actual achaar or pickle. It is a flavourful blend of carefully chosen spices and curds. The achaaris masala is truly representative of the variety of spices used in Punjabi cooking such as onion seeds (kalonji), mustard seeds, garam masala and dry mango powder. Here I have added the very versatile brinjal to this tongue ticking masala. However feel free to add any vegetable of you choice or even paneer to the achaaris gravy.",15 mins,15 mins,30 mins 
18,"Achari Chana Pulao, Pickled Kabuli Chana Pulao","For those who love the complex interplay of spices in pickles, this Pulao will be a dream come true. Rice, fortified with kabuli chana, is perked up with an interesting assortment of spices ranging from nigella and fenugreek to fennel seeds and black cardamoms, along with some readymade spice powders too. But, the real twist in this recipe is the addition of a couple of spoons of aam ka achaar, which gives a really sprightly flavour and aroma to the pulao. Being quite flavourful by itself, this Achaari Chana Pulao can be served simply with a cup of curds , or perhaps a bowl of dal like Dahiwali Toovar Dal , Dal Kadhi , Masoor Dal or Tamatar ki Kadhi.Enjoy how to make Achari Chana Pulao recipe with detailed step by step photos.",15 mins,15 mins,30 mins 
19,Achari Paneer,"Achari paneer is an aromatic accompaniment, which imbibes its flavour from a mixture of seeds used in the seasoning. A simple mixture of curds, flour and a few spice powders forms the base of this delectable cottage cheese preparation. Try other recipes like Achari Baingan or Chatakedar Paneer ",10 mins,6 mins,16 mins 
20,Achari Paneer Pulao Or How To Make Achari Cottage Cheese Rice Recipe,"Paneer, marinated with achari spices like fennel and nigella is tossed together with rice, which is cooked to perfection with typical spices like cinnamon, cloves, cardamom and caraway. This gives the feeling of having a nice pulao with a mild pickle, but it comes in a single package, making it convenient to serve or pack. All you need is a bowl of raita and perhaps a papad to complete this flavourful meal of Achari Paneer Pulao.",15 mins,5 mins,20 mins 
21,"Adai , Diabetic Adai Recipe","Adai is a very popular snack in parts of South India, where it is served as Breakfast or as supper. Traditionally, this dosa-like snack is made with a batter of rice and lentils, flavoured with chillies, pepper and other ingredients. In this diabetic-friendly variant, we have substituted rice with broken wheat, which not only matches up to the original in terms of flavour but also gives a unique texture that is absolutely delectable. Diabetics can have two  Adais for Breakfast , to meet their nutrient requirements.",10 mins,40 mins,1702 hours 50 minutes
22,"Adai Recipe, Adai Dosa, Breakfast","Adai is a crisp, golden dosa made using a batter of rice and mixed dals. It has the rich aroma of coconut oil and roasted dals, and a very rustic flavour as well. It is more satiating than regular dosas and makes a great Breakfast . Adai can be enhanced by adding onions or chopped drumstick leaves to the batter. While Adai tastes great with Coconut Chutney and Sambhar, there is a more traditional way of serving it, topped with a dollop of butter and accompanied by Avial and grated jaggery. ",10 mins,30 mins,1602 hours 40 minutes
23,"Adai, Protein Rich Adai Recipe","Adai, an all-time favourite South Indian snack , comprises a mix of different dals soaked and ground along with rice and spices to make a batter, which is cooked into thick pancakes. Add Adai to your meal to elevate the protein quotient to great heights! Dals are good, inexpensive sources of protein. Cereals and pulses lack an amino acid each, which makes it essential to combine them in a balanced way to improve the protein quality. This logic plays out beautifully in the recipe of Adai, a traditional south Indian recipe to be treasured.",15 mins,30 mins,1652 hours 45 minutes
24,"Adrak Aur Ganne ka Slush, Sugarcane and Ginger Slush","The streets of Mumbai are dotted with vendors selling ""ganne ka ras"" (sugarcane juice) extracted by pressing the sweet "" ganna"" or sugarcane. We are so familiar with the sight of fresh sugarcane juice that it is not a novelty. But when the same is frozen with a dash of ginger juice and lemon, it transforms itself into an exciting and delightful slush.If you like slush check these out- Watermelon Slush , Mock Peach Slush , Aam Lassi Slush . ",10 mins,0 mins ,10 mins 
25,Affogato,"A tantalizing treat for adults, Affogato features a rich coffee-brandy cocktail served atop creamy Vanilla ice-cream. Laced with cinnamon powder, this heart-warming beverage sets the perfect mood for a long chat with a loved one.",2 mins,5 mins,7 mins 
26,Afghani Paneer,"The Mughal maharajas had an umpteen number of chefs who spent laborious hours toiling in the kitchens to prepare the perfect meal. They ground most ingredients to powders to ensure the perfect eating experience. Though not as time consuming this recipe uses a powder of melon seeds, cashew nuts and poppy seeds. The powder is combined with other rich ingredients such as cream, milk and butter and used as a marinade for paneer. Marinating the paneer for at least 1 to 2 hours ensures that all the flavours of the marinade are absorbed.",10 mins,20 mins,30 mins 
27,Ajwain and Turmeric Milk,"Some remedies come with a superb flavour, which is very apt for the condition you are in! This age-old remedy for sore throat is a perfect example. The healing properties of turmeric and ajwain are packaged with a soothing, slightly-spicy taste that will soothe your sore throat in a very appealing way. Take two glasses of this Ajwain and Turmeric Milk per day for two or three days, and bid adieu to the irritating sore throat. Try to have it as hot as you can.",2 mins,3 mins,5 mins 
28,Ajwain Leaf Kadhi,Take a break from hot kadhis…. This one is served at room temperature with rice. Spicy hot bhajias make savoury accompaniment to this kadhi and rice. ,15 mins,20 mins,35 mins 
29,Ajwain Patta Ke Pakode,Tender ajwain leaves are dipped in a besan batter and deep fried. They add a great 'digestive' element to a plateful of sinful pakodas.On a rainy day enjoy as an evening tea snack with a cup of hot Elaichi Tea .,5 mins,20 mins,25 mins 
30,Ajwain Water,"Ajwain has a nice, appetizing aroma and tingling taste, which you will be able to ingest and digest even when you are feeling too full and not comfortable in the tummy. This easy Ajwain Water is a magic potion under such circumstances. Sipping on it helps to instantly relieve acidity along with flatulence. Acidity due to indigestion can also be treated with this Ajwain Water. If you have a ready stock of ajwain at home, you can quickly make this whenever you need it.Try other stomach-friendly drinks like Fresh Mint and Lemon Tea and Chunky Muskmelon Drink . ",1 mins,10 mins,11 mins 
31,Ajwaini Roti,"Ajwain has such a tantalising aroma and flavour that it can pep up a dish as a standalone spice! You will realise this when you try this mouth-watering Ajwaini Roti. Quick and easy, all it takes it the addition of carom seeds to the flour when making the roti dough, but it makes such a notable difference to the end product. When you cook the rotis with ghee, the aroma that comes out is so luring that you will want to eat it right off the tava. And you can do that if you choose to – because a cup of curds is all you need to serve with this aromatic roti!",5 mins,10 mins,15 mins 
32,Akhrot Choco Tarts,Delicious tarts made with walnut barfi topped with a creamy chocolate topping. , 10 mins., 25 mins.,35 mins 
33,Akhrot Kaju Sheera,"Unlike most sheeras in which nuts feature as a garnish, here two popular nuts – cashew and walnut – come to the centre stage as the main bulk of the sheera. While the walnuts are coarsely powdered, the cashews are broken, so that there is a good balance of textures, combining a rich graininess and an exciting crunch as well. The nuts are sautéed well to enhance the flavour and aroma, before cooking them in sugar, to get a really luscious Akhrot Kaju Sheera that is rich enough to become the talk of the day!",10 mins,11 mins,21 mins 
34,"Akki Roti, Karnataka Rice Flour Roti","Akki Roti is an all-time favourite snack in traditional Kannada households, where it is made for breakfast or evening tiffin. It is a quick and easy recipe, which does not require grinding or fermenting any batters. A soft dough of rice flour, perked up with veggies, ginger, green chillies and crushed cumin, is flattened deftly on a hot tava and cooked till it is an appetizing golden brown in colour. Speckled with grated carrot and chopped coriander, the rotis look really tempting, and taste equally so! It can be enjoyed with grated coconut mixed with jaggery, or with coconut chutney  and sambhar . Be careful when flattening the dough on the hot tava with wet hands as the hot steam might hurt you. Once you get the hang of it, it gets easier. Also, make sure you cook the rotis as soon as the dough is made, as the dough will get stiff and dry after some time. You can also have a go at other South Indian specialties like Onion Tomato Rava Uttapa or Neer Dosa .",10 mins,20 mins,30 mins 
35,Alasanda Vada,"Chawli is often used in subzis , but rare is a snack using this nutritious bean! Here is a traditional recipe from Andhra cuisine that uses boiled chawli to make scrumptious vadas. While the original version is deep-fried, this recipe of Alasanda Vada is happily tava-fried so you can relish it without any worries. Also, since rice flour is unsuitable for diabetics , we have used whole wheat flour for binding instead. With the crunch of onions and many a tasteful ingredient like coriander, ginger and garlic, this vada sure it a yummy treat for your palate – and a healthful one to boot. Try other healthy diabetic snacks like Methi Crispies or Adai .",10 mins,15 mins,25 mins 
36,Alfalfa Sprouts Open Sandwich ( Vitamin A and Calcium Rich Recipe ),"The Arabs call alfalfa sprouts ‘the father of all foods’! Sprouts are fortified with good amounts of nutrients making it a super healthy food. This Alfalfa Sprouts Open Sandwich recipe is loaded with peppers, olives, tomato and cheese, all of which make it an extremely tasty meal as well. The best part is that being an open sandwich, we can cut down on a slice of bread too!You can also try other recipes using alfalfa sprouts like Mango and Burrata Cheese Crostini or Antioxidant, Protein Rich Healthy Lunch Salad.Enjoy how to make Alfalfa Sprouts Open Sandwich recipe with detailed step by step photos and video.",15 mins,9 mins,24 mins 
37,"Alfalfa Sprouts, Tomatoes and Basil Sandwich","Alfalfa is a very healthy herb often used in home remedies for digestive disorders, cholesterol, diabetes , etc. Here is an interesting way to prepare a sandwich out of this healthy herb, combined with tomatoes and basil. Remember to use tender alfalfa sprouts for the Alfalfa Sprouts, Tomatoes and Basil Sandwich , as more mature ones are coarse and not so tasty.",10  mins,0 mins ,10 mins 
38,Aliv Nutri Paratha,"Aliv or garden cress seed is a real treasure-trove of nutrients, and a must have in every kitchen. This little-known Indian food is one of the best vegetarian sources of iron, and is worth including in the diet, whether as a powder or in seed form. This delicious Aliv Nutri Paratha is a great way to start off. With a scrumptious stuffing of paneer and coloured capsicums, it is nothing short of a mouth-watering treat.Serve hot with Healthy Green Chutney and Low Fat Curds . ",20 mins,30 mins,50 mins 
39,"All Rounder, Orange Pineapple and Lemonade Drink","When a drink gives you the best of everything, it is an All-Rounder! Indeed, this delightful drink is thoroughly refreshing with the tangy notes of orange juice and lemonade, with the tropical touch of pineapples. Serve the All Rounder chilled, to enjoy the tingling sense of refreshment.When you want to relax after a tiring day just take long sips of this refreshing drink with small bites of your favourite snack .",2 mins,0 mins ,2 mins 
40,"Alluring Anthurium, Baby Corn and Capsicum Flowers ( Vegetable Carvings)",Use the bright red hues of capsicum and the baby corn to create an attractive anthurium piece with yam as a base. Make it the central attraction in the next kitty pasrty or a formal dinner party. ,20 mins,0 mins ,20 mins 
41,"Almond and Avocado Toast, Toasted Almond Bread Topped with Avocados","A fabulous recipe that combines the pleasing nutty taste of toasted almond bread with the creaminess of ripe avocado. A drizzling of olive oil adds to the taste and aroma of the Almond and Avocado Toast. It is equally important to sprinkle a little sea salt over the avocado slices before serving because it gives an instant appetizing effect! As it is made with almond bread, this recipe is gluten-free and can be enjoyed by all. Make sure the avocadoes are ripe, and cut them lightly and neatly to give the toast an appealing appearance. Try other recipes like homemade Almond Bread and Almond Flax Bread with Eggs .",15 mins,0 mins ,35 mins 
42,Almond and Orange Marmalade Tart,"Marmalade-coated apple slices baked to perfection in an almond tart, the almond and orange marmalade tart is a recipe worth a lot of praise! the almond tart in this recipe is a delicacy in its own right as it makes use of almond powder. The use of marmalade and lemon juice gives the tart a nice glazed finish, making it all the more appetising!",15 mins,0 mins ,45 mins 
43,Almond Banana Smoothie,Fruit and nuts complement each other no matter in what form. When you don’t have time for a cooked breakfast whip up a hearty almond and banana smoothie for instant energy!You can also try other smoothies like Black Grape Smoothie and Banana Apple Smoothie .,5 mins,0 mins ,5 mins 
44,"Almond Berry and Coconut Cake, For Fitness and Weight Loss","The Almond, Berry and Coconut Cake is a dashing treat for the palate, with its melt-in-the-mouth texture and splendid flavour. This unique cake is made with almond flour, coconut, pumpkin seeds, sunflower seeds and honey, unlike run-of-the-mill cakes that are made with maida and sugar. Your body will thank for the goodness of each of these ingredients! Almonds contain a lot of healthy fats, fibre, protein, magnesium and vitamin E. It helps lower blood sugar levels, reduces blood pressure and keeps cholesterol under check. Coconut is made of medium chain triglycerides, which are transported from the intestinal tract to the liver and immediately converted into fuel for your body! Berries are very special too. They are rich in phytochemicals, which are naturally-occurring nutrients that protect our cells from damage. Pumpkin seeds too are a treasure trove of antioxidants. Berries are sweet, but not the kind that scares diabetics. Together with the honey, the berries make the cake pleasantly sweet. If you want it sweeter, you can add a little more honey. This healthy treat is excellent for weight-watchers and athletes as it is rich in healthy fats. It can be relished any time, as a snack or as a dessert. You can also try other healthy treats like Almond Bread , Paneer Tikka , Broccoli and Bajra Snack and Deviled Eggs ",10 mins,0 mins ,651 hours 5 minutes
45,"Almond Bhakri, Gluten Free Almond Bhakri","For many, the aroma of bhakri cooking on the tawa is reminiscent of home-cooked food! Here, we introduce you to a totally off-beat Almond Bhakri. As you will surmise from the name, the Almond Bhakri is quite a rich treat, but it is healthy and gluten-free too, so anybody can go for it. Almonds contain a lot of healthy fats, fibre, protein, magnesium and vitamin E. It helps lower blood sugar levels, reduces blood pressure and keeps cholesterol under check. You will be pleasantly surprised to know that the Almond Bhakri is also good for weight-loss, as almonds and ghee have perfect fats that keep you full for longer. Enjoy these gluten-free bhakris with full-fat curds , a paneer-based subzi or dal to make a tasty meal. Just take care while making the bhakri, as it should only be patted and not rolled.",5 mins,15 mins,801 hours 20 minutes
46,Almond Biryani,"You are sure to have tried cashew pulao, but how about Almond Biryani? An innovative rice preparation rich with the aroma of spices, the Almond Biryani combines French beans and green peas with sliced almonds adding a dash of crunchy fun to each mouthful. Using cooked rice and readily available biryani masala, this dish can be prepared within minutes. The garnish of fried onions and almonds adds to the appeal of this biryani.",25 mins,9 mins,34 mins 
47,Almond Biscotti,"Biscotti are a special class of biscuits, which are baked twice. This gives them a unique texture, which is firm to bite but soft on the palate! Baking twice also gives them a rich, well-done aroma. This recipe shares the secret of making fabulous Almond Biscotti, with the aesthetic flavour of vanilla and cinnamon and the amazing crunch of almonds. You can serve them fresh and warm, or cool and store in an airtight container.Enjoy with a cup of Hot Coffee or Hot Chocolate .",10 mins,0 mins ,701 hours 10 minutes
48,Almond Biscuits,"Nothing to beat the kick of serving homemade biscuits with tea, especially if it is a choice as popular as Almond Biscuits! Indeed, the aroma of Almond Biscuits baking in the oven is enough to make your whole family assemble in the kitchen for their share. These melt-in-the-mouth biscuits with a mild tinge of vanilla and the exciting crunch of almonds will appeal to everybody. You can even consider serving them at parties , with tea  and coffee .",10 mins,0 mins ,32 mins 
49,"Almond Biscuits, Almond Butter Biscuits","These buttery cookies surprise you with crunchy bits of almond in every bite! With both powdered almonds and sliced almonds in it, this Almond Biscuit has a melt-in-the-mouth texture as well as an intermittent crunch, which makes it really extraordinary. Despite the amazing taste and texture, these biscuits are surprisingly easy and quick to make, so you can go ahead and try it out right away. Have a go at other exciting almond recipes like Almond Rocks and Almond Til Chikki .",10 mins,0 mins ,40 mins 
50,"Almond Bread, Homemade Almond Bread Without Eggs","A loaf without wheat? Unbelievable but true, and absolutely awesome too. Behold the Almond Bread made with Almond Milk. This recipe is a better option for those that don’t have eggs as in the recipe Almond Flax Bread with Eggs .This is a really unique snack, which tastes great and is chock-full of good health too. It is gluten-free, which means that even gluten-sensitive people can enjoy it. Rich in protein, which is good fat, the Almond Bread is an ideal snack for weight loss, and for athletes. You can enjoy it as it is, or with Peanut Butter . Packed in a foil and refrigerated, it stays good for around five days.",5 mins,0 mins ,45 mins 
51,"Almond Coconut Bars, No Bake","These delicious snack bars, made with roasted almonds and dry grated coconut are so tasty that you will feel a deep sense of joy when you bite into them. The best part is that they do not even require any baking, so you can make them quickly and easily at home and carry them to work or when you travel, to munch on when you are hungry. It will also be a good surprise to pack in your kids’ snack box. The Almond Coconut Bars have a pleasing flavour and exciting texture that strike the right chord with everybody. The crunch of almonds and the flakiness of coconut match beautifully with the rustic texture of oats and the ever-popular taste of peanut butter. A hint or honey gives the bars a richer taste! The bars stay well at room temperature for 2-3 days but if you cling wrap the bars individually and deep freeze them in a freezer bag, you can keep the bars for over a month!Try other bar recipes like Date Oats and Mixed Berries Granola Bars and Raspberry Oatmeal Nut Bars . ",20 mins,3 mins,23 mins 
52,Almond Cookie Tiramisu,"Here is how you can recreate a popular coffee-flavoured Italian dessert at home within minutes. Made quickly with cookies, instant coffee powder, grated chocolate and cream along with other common ingredients, the almond cookie tiramisu is perfect for those times when you want to serve something exotic but don't have much time to spend in the kitchen.",10 mins,0 mins ,40 mins 
53,"Almond Flax Bread with Eggs, Gluten Free","A loaf without wheat? Unbelievable but true, and absolutely awesome too. Behold the Almond Flax Bread with Eggs. This is a really unique snack, which tastes great and is chock-full of good health too. It is gluten-free, which means that even gluten-sensitive people can enjoy it. Rich in protein, which is good fat, the Almond Flax Bread is an ideal snack for weight loss, and for athletes. You can enjoy it as it is, or with peanut butter . Packed in a foil and refrigerated, it stays good for around five days.",5 mins,0 mins ,50 mins 
54,"Almond Honey Cinnamon Milk, Healthy Vegan Breakfast Recipe","Elegantly flavoured and pleasing to the palate, this Almond Honey Cinnamon Milk is a glassful of goodness! It is easy and cost-effective, yet tasty and brimming with nutrients. After several trials, we have arrived at the perfect blend of ingredients, so we suggest you go with it without any modifications. Since whole cinnamon is blended with the almonds, you get a really rich flavour. It doesn’t taste good with cinnamon powder, so stick to the cinnamon stick! We have used honey as a natural sweetener, but vegans can go for maple syrup instead. Almonds are rich in omega-3 fatty acids, which help maintain blood cholesterol levels. It is also a great source of protein and high calcium , making this a wonderful choice for everybody including kids.You can also try Saffron Cardamom Almond Milk or Chocolate Almond Milk .",5 mins,0 mins ,5 mins 
55,Almond Jelly with Fruit Cocktail ( Chinese Cooking ),"Almond jelly with fruit cocktail, fruits and fruit based desserts are popular in china and almond based puddings and jellies are usually savored with fresh fruit. This recipe is classic vietnamese. Little cups of almond flavored jellies are served topped with fresh fruit-which ever is in season. We’ve paired it with fresh lychees, orange, pineapples and strawberries. You can get creative and use other juicy fruits like kiwi, berries etc. And use interesting jelly moulds to yield jelly of different shapes. Refreshing and delicious!",15 mins,15 mins,30 mins 
56,"Almond Milk, Homemade Pure Almond Milk","Here is how to make pure, soothing and tasty Almond Milk! This pure Almond Milk is rich in protein and iron , and wonderful for endurance athletes . It is a good substitute for milk for lactose intolerant people.This is an instant Almond milk which does not require and soaking of Almonds and then straining the blended milk. You can also try our recipe made with soaked almonds Homemade Almond Milk Made with Soaked Almonds . It has a pleasant taste, which can be enhanced further with a dash of honey. You can make a batch of this Almond Milk and store it in the fridge for three days in an airtight container. This almond milk can be used as a base for making many recipes like Avocado Almond Milk Vegan Smoothie and Healthy Peanut Almond Milk Oatmeal, for Breakfast",2 mins,0 mins ,2 mins 
57,Almond Payasam,"Any dish made using almonds is unfailingly rich, quite befitting royalty! keep the spices such as cardamom to a minimum in this recipe, so as to highlight the creamy, soothing texture and flavour of almonds. Authentic ‘badam kheer’ made the south indian way omits cardamoms and nutmeg and uses a pinch of raw camphor and saffron (both added after the kheer is removed from the fire) instead. But if you do not find raw camphor, fret not; just go ahead with this recipe as it is!",10 mins,30 mins,1602 hours 40 minutes
58,Almond Pistachios Praline Triangles,"A delicious praline made of healthy nuts and seeds, the almond pistachio praline triangles are a great snack for any time of the day. Nuts and seeds are a storehouse of energy, and also provide essential nutrients like protein, fibre, anti-oxidants and vitamin e – making them a must-have for kids. So, be sure to make and store some of these healthy pralines in an airtight container, so that your kids find a wonder-food when they raid the kitchen larder to cater to a sudden hunger pang. ",10 mins,15 mins,25 mins 
59,Almond Praline ( Eggless Desserts Recipe),"A scrumptious crunch topping that can be used in many desserts, especially sundaes. The crunch of almonds together with caramelized sugar imparts a wonderful texture to recipes. While i have included it in the recipe of chocolate nougat cake, but it can even be eaten by itself!",5 mins,7 mins,12 mins 
60,Almond Praline Cake ( Cakes and Pastries Recipe),"A spongy cake with a crunchy texture, this looks as if it is covered in translucent gold if you use chikki instead of praline!",20 mins,15 mins,35 mins 
